file,age,gender,race,clicked,userid,item
train/16547.jpg,40-49,Female,White,1.0,967d97ba-3ea9-408b-976f-85987efeb694,1.0
train/53458.jpg,20-29,Male,Middle Eastern,0.0,967d97ba-3ea9-408b-976f-85987efeb694,1.0
train/75879.jpg,20-29,Male,Latino_Hispanic,0.0,967d97ba-3ea9-408b-976f-85987efeb694,2.0
train/49431.jpg,20-29,Female,Indian,1.0,967d97ba-3ea9-408b-976f-85987efeb694,2.0
train/18083.jpg,20-29,Male,Black,0.0,967d97ba-3ea9-408b-976f-85987efeb694,3.0
train/35178.jpg,20-29,Male,East Asian,1.0,967d97ba-3ea9-408b-976f-85987efeb694,3.0
train/54379.jpg,30-39,Male,Indian,0.0,03ef552e-cfa4-434a-9640-2a60b70ff7c7,1.0
train/29686.jpg,40-49,Male,Black,1.0,03ef552e-cfa4-434a-9640-2a60b70ff7c7,1.0
train/24768.jpg,20-29,Female,White,1.0,03ef552e-cfa4-434a-9640-2a60b70ff7c7,2.0
train/34461.jpg,20-29,Male,Middle Eastern,0.0,03ef552e-cfa4-434a-9640-2a60b70ff7c7,2.0
train/61649.jpg,20-29,Male,Southeast Asian,1.0,e981d480-672a-4390-bdf5-c8eb99b5a378,1.0
train/20707.jpg,20-29,Female,Indian,0.0,e981d480-672a-4390-bdf5-c8eb99b5a378,1.0
train/29779.jpg,20-29,Male,Southeast Asian,0.0,e981d480-672a-4390-bdf5-c8eb99b5a378,2.0
train/83092.jpg,30-39,Female,East Asian,1.0,e981d480-672a-4390-bdf5-c8eb99b5a378,2.0
train/10129.jpg,30-39,Male,Black,1.0,70eea9d9-130e-47da-a936-c1f001cb8445,1.0
train/6700.jpg,20-29,Female,Southeast Asian,0.0,70eea9d9-130e-47da-a936-c1f001cb8445,1.0
train/76718.jpg,20-29,Male,East Asian,1.0,0d5950d1-8e44-415d-ade7-583dd6de2dce,1.0
train/29382.jpg,30-39,Female,Middle Eastern,0.0,0d5950d1-8e44-415d-ade7-583dd6de2dce,1.0
train/14303.jpg,20-29,Male,Black,0.0,6cb955e0-529c-43f1-9001-8ed0f3662282,1.0
train/1724.jpg,20-29,Male,Southeast Asian,1.0,6cb955e0-529c-43f1-9001-8ed0f3662282,1.0
train/19748.jpg,50-59,Male,Latino_Hispanic,1.0,6cb955e0-529c-43f1-9001-8ed0f3662282,2.0
train/14951.jpg,40-49,Male,Latino_Hispanic,0.0,6cb955e0-529c-43f1-9001-8ed0f3662282,2.0
train/3641.jpg,40-49,Male,Latino_Hispanic,0.0,6cb955e0-529c-43f1-9001-8ed0f3662282,3.0
train/79119.jpg,30-39,Male,East Asian,1.0,6cb955e0-529c-43f1-9001-8ed0f3662282,3.0
train/67845.jpg,20-29,Male,Southeast Asian,1.0,6cb955e0-529c-43f1-9001-8ed0f3662282,4.0
train/25082.jpg,20-29,Female,Latino_Hispanic,0.0,6cb955e0-529c-43f1-9001-8ed0f3662282,4.0
train/39946.jpg,30-39,Male,Latino_Hispanic,1.0,5cf21fac-4c4c-47e7-9eed-da53991205bb,1.0
train/77788.jpg,20-29,Female,Middle Eastern,0.0,5cf21fac-4c4c-47e7-9eed-da53991205bb,1.0
train/34322.jpg,20-29,Female,Latino_Hispanic,1.0,5cf21fac-4c4c-47e7-9eed-da53991205bb,2.0
train/43106.jpg,20-29,Male,Black,0.0,5cf21fac-4c4c-47e7-9eed-da53991205bb,2.0
train/58257.jpg,30-39,Male,Southeast Asian,1.0,d3a393e4-be07-4845-8883-e255755dbd08,1.0
train/22953.jpg,20-29,Male,East Asian,0.0,d3a393e4-be07-4845-8883-e255755dbd08,1.0
train/58710.jpg,20-29,Male,Black,0.0,d3a393e4-be07-4845-8883-e255755dbd08,2.0
train/37279.jpg,40-49,Female,Latino_Hispanic,1.0,d3a393e4-be07-4845-8883-e255755dbd08,2.0
train/20873.jpg,50-59,Male,East Asian,1.0,298cf6eb-741f-4da2-9e45-cdcb036b8ad4,1.0
train/26850.jpg,20-29,Male,Southeast Asian,0.0,298cf6eb-741f-4da2-9e45-cdcb036b8ad4,1.0
train/70.jpg,30-39,Male,Indian,0.0,298cf6eb-741f-4da2-9e45-cdcb036b8ad4,2.0
train/50980.jpg,20-29,Male,East Asian,1.0,298cf6eb-741f-4da2-9e45-cdcb036b8ad4,2.0
train/33604.jpg,50-59,Female,Southeast Asian,0.0,c3590bde-a6de-4655-8406-44c57e305b70,1.0
train/42678.jpg,20-29,Female,Latino_Hispanic,1.0,c3590bde-a6de-4655-8406-44c57e305b70,1.0
train/29951.jpg,more than 70,Female,East Asian,1.0,c3590bde-a6de-4655-8406-44c57e305b70,2.0
train/66851.jpg,more than 70,Female,Indian,0.0,c3590bde-a6de-4655-8406-44c57e305b70,2.0
train/66089.jpg,50-59,Male,Latino_Hispanic,1.0,c3590bde-a6de-4655-8406-44c57e305b70,3.0
